"","State.province","Elevation.m.","Latitude","Genus","Taxon","FullTax","Sp.abund","Plot.abund","Weights"
"3755","California",1204,"36.5381","Quercus","Quercus kelloggii","Fagaceae/Quercus/Quercus_kelloggii",6,123,0.0487804878048781
"3756","California",1204,"36.5381","Rhamnus","Rhamnus rubra","Rhamnaceae/Rhamnus/Rhamnus_rubra",6,123,0.0487804878048781
"3757","California",1204,"36.5381","Rhamnus","Rhamnus ilicifolia","Rhamnaceae/Rhamnus/Rhamnus_ilicifolia",1,123,0.00813008130081301
"3782","California",1204,"36.5381","Abies","Abies magnifica","Pinaceae/Abies/Abies_magnifica",1,123,0.00813008130081301
"3798","California",1204,"36.5381","Crataegus","NULL","Rosaceae/Crataegus/Crataegus_sp1",1,123,0.00813008130081301
"3865","California",1204,"36.5381","Philadelphus","Philadelphus lewisii","Hydrangeaceae/Philadelphus/Philadelphus_lewisii",1,123,0.00813008130081301
"3866","California",1608,"36.5704","Calocedrus","Calocedrus decurrens","Cupressaceae/Calocedrus/Calocedrus_decurrens",28,146,0.191780821917808
"3867","California",1608,"36.5704","Pinus","Pinus lambertiana","Pinaceae/Pinus/Pinus_lambertiana",9,146,0.0616438356164384
"3868","California",1608,"36.5704","Ceanothus","Ceanothus integerrimus","Rhamnaceae/Ceanothus/Ceanothus_integerrimus",42,146,0.287671232876712
"3869","California",1608,"36.5704","Pinus","Pinus ponderosa","Pinaceae/Pinus/Pinus_ponderosa",8,146,0.0547945205479452
"3875","California",1608,"36.5704","Quercus","Quercus kelloggii","Fagaceae/Quercus/Quercus_kelloggii",24,146,0.164383561643836
"3883","California",1608,"36.5704","Arctostaphylos","Arctostaphylos viscida","Ericaceae/Arctostaphylos/Arctostaphylos_viscida",1,146,0.00684931506849315
"3889","California",1608,"36.5704","Pseudotsuga","Pseudotsuga menziesii","Pinaceae/Pseudotsuga/Pseudotsuga_menziesii",34,146,0.232876712328767
"4012","California",1934,"36.5603","Abies","Abies magnifica","Pinaceae/Abies/Abies_magnifica",11,31,0.354838709677419
"4014","California",1934,"36.5603","Cornus","Cornus sericea","Cornaceae/Cornus/Cornus_sericea",6,31,0.193548387096774
"4017","California",1934,"36.5603","Sequoiadendron","Sequoiadendron giganteum","Cupressaceae/Sequoiadendron/Sequoiadendron_giganteum",3,31,0.0967741935483871
"4024","California",1934,"36.5603","Cornus","Cornus nuttallii","Cornaceae/Cornus/Cornus_nuttallii",9,31,0.290322580645161
"4028","California",1934,"36.5603","Chrysolepis","Chrysolepis sempervirens","Fagaceae/Chrysolepis/Chrysolepis_sempervirens",2,31,0.0645161290322581
"4043","California",2103,"36.632","Chrysolepis","Chrysolepis sempervirens","Fagaceae/Chrysolepis/Chrysolepis_sempervirens",30,45,0.666666666666667
"4048","California",2103,"36.632","Abies","Abies concolor","Pinaceae/Abies/Abies_concolor",10,45,0.222222222222222
"4052","California",2103,"36.632","Sequoiadendron","Sequoiadendron giganteum","Cupressaceae/Sequoiadendron/Sequoiadendron_giganteum",1,45,0.0222222222222222
"4053","California",2103,"36.632","Ceanothus","Ceanothus cordulatus","Rhamnaceae/Ceanothus/Ceanothus_cordulatus",1,45,0.0222222222222222
"4061","California",2103,"36.632","Pinus","Pinus lambertiana","Pinaceae/Pinus/Pinus_lambertiana",3,45,0.0666666666666667
"4088","California",2742,"36.4735","Pinus","Pinus contorta","Pinaceae/Pinus/Pinus_contorta",1,65,0.0153846153846154
"4089","California",2742,"36.4735","Abies","Abies magnifica","Pinaceae/Abies/Abies_magnifica",55,65,0.846153846153846
"4092","California",2742,"36.4735","Pinus","Pinus albicaulis","Pinaceae/Pinus/Pinus_albicaulis",9,65,0.138461538461538
"4153","California",3187,"36.4444","Pinus","Pinus balfouriana","Pinaceae/Pinus/Pinus_balfouriana",14,14,1
"4167","Tamaulipas",835,"23.0575","Persea","Persea americana","Lauraceae/Persea/Persea_americana",6,244,0.0245901639344262
"4168","Tamaulipas",835,"23.0575","Ficus","Ficus cotinifolia","Moraceae/Ficus/Ficus_cotinifolia",1,244,0.00409836065573771
"4169","Tamaulipas",835,"23.0575","Vitis","NULL","Vitaceae/Vitis/Vitis_sp1",20,244,0.0819672131147541
"4170","Tamaulipas",835,"23.0575","Quercus","Quercus germana","Fagaceae/Quercus/Quercus_germana",3,244,0.0122950819672131
"4171","Tamaulipas",835,"23.0575","Berberis","Berberis hartwegii","Berberidaceae/Berberis/Berberis_hartwegii",1,244,0.00409836065573771
"4172","Tamaulipas",835,"23.0575","Colubrina","Colubrina greggii","Rhamnaceae/Colubrina/Colubrina_greggii",11,244,0.0450819672131148
"4173","Tamaulipas",835,"23.0575","Dendropanax","Dendropanax arboreus","Araliaceae/Dendropanax/Dendropanax_arboreus",3,244,0.0122950819672131
"4176","Tamaulipas",835,"23.0575","BignoniaceaeIndet.","NULL","Bignoniaceae/BignoniaceaeIndet/BignoniaceaeIndet_sp1",4,244,0.0163934426229508
"4180","Tamaulipas",835,"23.0575","Bauhinia","NULL","Fabaceae/Bauhinia/Bauhinia_sp1",17,244,0.069672131147541
"4182","Tamaulipas",835,"23.0575","Mikania","NULL","Asteraceae/Mikania/Mikania_sp2",22,244,0.0901639344262295
"4183","Tamaulipas",835,"23.0575","Wimmeria","Wimmeria concolor","Celastraceae/Wimmeria/Wimmeria_concolor",20,244,0.0819672131147541
"4188","Tamaulipas",835,"23.0575","Eugenia","NULL","Myrtaceae/Eugenia/Eugenia_sp3",2,244,0.00819672131147541
"4197","Tamaulipas",835,"23.0575","Trichilia","Trichilia hirta","Meliaceae/Trichilia/Trichilia_hirta",7,244,0.0286885245901639
"4198","Tamaulipas",835,"23.0575","Chione","Chione venosa","Rubiaceae/Chione/Chione_venosa",12,244,0.0491803278688525
"4200","Tamaulipas",835,"23.0575","Trichilia","Trichilia havanensis","Meliaceae/Trichilia/Trichilia_havanensis",3,244,0.0122950819672131
"4201","Tamaulipas",835,"23.0575","Cnidoscolus","Cnidoscolus multilobus","Euphorbiaceae/Cnidoscolus/Cnidoscolus_multilobus",5,244,0.0204918032786885
"4202","Tamaulipas",835,"23.0575","Eugenia","NULL","Myrtaceae/Eugenia/Eugenia_sp1",8,244,0.0327868852459016
"4204","Tamaulipas",835,"23.0575","Quercus","Quercus rysophylla","Fagaceae/Quercus/Quercus_rysophylla",3,244,0.0122950819672131
"4206","Tamaulipas",835,"23.0575","AsteraceaeIndet.","NULL","Asteraceae/AsteraceaeIndet/AsteraceaeIndet_sp3",4,244,0.0163934426229508
"4208","Tamaulipas",835,"23.0575","Tabernaemontana","NULL","Apocynaceae/Tabernaemontana/Tabernaemontana_sp1",3,244,0.0122950819672131
"4219","Tamaulipas",835,"23.0575","Clethra","Clethra pringlei","Clethraceae/Clethra/Clethra_pringlei",13,244,0.0532786885245902
"4220","Tamaulipas",835,"23.0575","Piper","NULL","Piperaceae/Piper/Piper_sp1",2,244,0.00819672131147541
"4223","Tamaulipas",835,"23.0575","Hamelia","NULL","Rubiaceae/Hamelia/Hamelia_sp1",3,244,0.0122950819672131
"4229","Tamaulipas",835,"23.0575","Persea","Persea liebmannii","Lauraceae/Persea/Persea_liebmannii",8,244,0.0327868852459016
"4231","Tamaulipas",835,"23.0575","Ficus","Ficus pertusa","Moraceae/Ficus/Ficus_pertusa",1,244,0.00409836065573771
"4237","Tamaulipas",835,"23.0575","Lonchocarpus","Lonchocarpus hidalgensis","Fabaceae/Lonchocarpus/Lonchocarpus_hidalgensis",4,244,0.0163934426229508
"4238","Tamaulipas",835,"23.0575","Decatropis","Decatropis bicolor","Rutaceae/Decatropis/Decatropis_bicolor",4,244,0.0163934426229508
"4256","Tamaulipas",835,"23.0575","Gymnanthes","Gymnanthes longipes","Euphorbiaceae/Gymnanthes/Gymnanthes_longipes",30,244,0.122950819672131
"4258","Tamaulipas",835,"23.0575","Sapindus","Sapindus saponaria","Sapindaceae/Sapindus/Sapindus_saponaria",3,244,0.0122950819672131
"4264","Tamaulipas",835,"23.0575","Paullinia","Paullinia tomentosa","Sapindaceae/Paullinia/Paullinia_tomentosa",1,244,0.00409836065573771
"4270","Tamaulipas",835,"23.0575","Eugenia","NULL","Myrtaceae/Eugenia/Eugenia_sp2",2,244,0.00819672131147541
"4278","Tamaulipas",835,"23.0575","Lysiloma","NULL","Fabaceae/Lysiloma/Lysiloma_sp1",1,244,0.00409836065573771
"4281","Tamaulipas",835,"23.0575","Quercus","Quercus paxtalensis","Fagaceae/Quercus/Quercus_paxtalensis",1,244,0.00409836065573771
"4282","Tamaulipas",835,"23.0575","Drypetes","Drypetes lateriflora","Putranjivaceae/Drypetes/Drypetes_lateriflora",7,244,0.0286885245901639
"4302","Tamaulipas",835,"23.0575","Prunus","Prunus rhamnoides","Rosaceae/Prunus/Prunus_rhamnoides",1,244,0.00409836065573771
"4304","Tamaulipas",835,"23.0575","Cinnamomum","Cinnamomum pachypodum","Lauraceae/Cinnamomum/Cinnamomum_pachypodum",2,244,0.00819672131147541
"4330","Tamaulipas",835,"23.0575","Parthenocissus","Parthenocissus quinquefolia","Vitaceae/Parthenocissus/Parthenocissus_quinquefolia",2,244,0.00819672131147541
"4363","Tamaulipas",835,"23.0575","Randia","NULL","Rubiaceae/Randia/Randia_sp2",3,244,0.0122950819672131
"4386","Tamaulipas",835,"23.0575","Solanum","NULL","Solanaceae/Solanum/Solanum_sp1",1,244,0.00409836065573771
"4411","Tamaulipas",1205,"23.0345","Randia","NULL","Rubiaceae/Randia/Randia_sp1",2,178,0.0112359550561798
"4412","Tamaulipas",1205,"23.0345","Vitis","Vitis cinerea","Vitaceae/Vitis/Vitis_cinerea",7,178,0.0393258426966292
"4413","Tamaulipas",1205,"23.0345","VerbenaceaeIndet.","NULL","Verbenaceae/VerbenaceaeIndet/VerbenaceaeIndet_sp1",4,178,0.0224719101123595
"4414","Tamaulipas",1205,"23.0345","Lysiloma","NULL","Fabaceae/Lysiloma/Lysiloma_sp2",9,178,0.050561797752809
"4415","Tamaulipas",1205,"23.0345","Mikania","NULL","Asteraceae/Mikania/Mikania_sp1",21,178,0.117977528089888
"4417","Tamaulipas",1205,"23.0345","Berberis","Berberis hartwegii","Berberidaceae/Berberis/Berberis_hartwegii",1,178,0.00561797752808989
"4419","Tamaulipas",1205,"23.0345","Gymnanthes","Gymnanthes longipes","Euphorbiaceae/Gymnanthes/Gymnanthes_longipes",14,178,0.0786516853932584
"4420","Tamaulipas",1205,"23.0345","Persea","Persea americana","Lauraceae/Persea/Persea_americana",11,178,0.0617977528089888
"4423","Tamaulipas",1205,"23.0345","Cnidoscolus","Cnidoscolus multilobus","Euphorbiaceae/Cnidoscolus/Cnidoscolus_multilobus",6,178,0.0337078651685393
"4427","Tamaulipas",1205,"23.0345","Wimmeria","Wimmeria concolor","Celastraceae/Wimmeria/Wimmeria_concolor",2,178,0.0112359550561798
"4428","Tamaulipas",1205,"23.0345","Cercis","Cercis canadensis","Fabaceae/Cercis/Cercis_canadensis",4,178,0.0224719101123595
"4429","Tamaulipas",1205,"23.0345","AsteraceaeIndet.","NULL","Asteraceae/AsteraceaeIndet/AsteraceaeIndet_sp4",2,178,0.0112359550561798
"4430","Tamaulipas",1205,"23.0345","Philadelphus","Philadelphus coulteri","Hydrangeaceae/Philadelphus/Philadelphus_coulteri",1,178,0.00561797752808989
"4431","Tamaulipas",1205,"23.0345","Persea","Persea liebmannii","Lauraceae/Persea/Persea_liebmannii",3,178,0.0168539325842697
"4433","Tamaulipas",1205,"23.0345","Rhamnus","Rhamnus capreifolia","Rhamnaceae/Rhamnus/Rhamnus_capreifolia",3,178,0.0168539325842697
"4438","Tamaulipas",1205,"23.0345","Ocotea","NULL","Lauraceae/Ocotea/Ocotea_sp1",6,178,0.0337078651685393
"4439","Tamaulipas",1205,"23.0345","Ilex","Ilex discolor","Aquifoliaceae/Ilex/Ilex_discolor",5,178,0.0280898876404494
"4441","Tamaulipas",1205,"23.0345","Myrsine","Myrsine juergensenii","Primulaceae/Myrsine/Myrsine_juergensenii",2,178,0.0112359550561798
"4445","Tamaulipas",1205,"23.0345","Eugenia","NULL","Myrtaceae/Eugenia/Eugenia_sp1",26,178,0.146067415730337
"4449","Tamaulipas",1205,"23.0345","Trichilia","Trichilia hirta","Meliaceae/Trichilia/Trichilia_hirta",1,178,0.00561797752808989
"4451","Tamaulipas",1205,"23.0345","Quercus","Quercus germana","Fagaceae/Quercus/Quercus_germana",15,178,0.0842696629213483
"4453","Tamaulipas",1205,"23.0345","Witheringia","Witheringia mexicana","Solanaceae/Witheringia/Witheringia_mexicana",1,178,0.00561797752808989
"4461","Tamaulipas",1205,"23.0345","Quercus","Quercus paxtalensis","Fagaceae/Quercus/Quercus_paxtalensis",2,178,0.0112359550561798
"4465","Tamaulipas",1205,"23.0345","Vitis","NULL","Vitaceae/Vitis/Vitis_sp1",1,178,0.00561797752808989
"4467","Tamaulipas",1205,"23.0345","Sapindus","Sapindus saponaria","Sapindaceae/Sapindus/Sapindus_saponaria",4,178,0.0224719101123595
"4476","Tamaulipas",1205,"23.0345","Lonchocarpus","Lonchocarpus hidalgensis","Fabaceae/Lonchocarpus/Lonchocarpus_hidalgensis",3,178,0.0168539325842697
"4477","Tamaulipas",1205,"23.0345","Clethra","Clethra pringlei","Clethraceae/Clethra/Clethra_pringlei",5,178,0.0280898876404494
"4479","Tamaulipas",1205,"23.0345","Morus","Morus celtidifolia","Moraceae/Morus/Morus_celtidifolia",4,178,0.0224719101123595
"4483","Tamaulipas",1205,"23.0345","Chione","Chione venosa","Rubiaceae/Chione/Chione_venosa",1,178,0.00561797752808989
"4488","Tamaulipas",1205,"23.0345","Trichilia","Trichilia havanensis","Meliaceae/Trichilia/Trichilia_havanensis",1,178,0.00561797752808989
"4511","Tamaulipas",1205,"23.0345","AsteraceaeIndet.","NULL","Asteraceae/AsteraceaeIndet/AsteraceaeIndet_sp1",1,178,0.00561797752808989
"4516","Tamaulipas",1205,"23.0345","Zanthoxylum","Zanthoxylum clava-herculis","Rutaceae/Zanthoxylum/Zanthoxylum_clava-herculis",1,178,0.00561797752808989
"4536","Tamaulipas",1205,"23.0345","Quercus","Quercus rysophylla","Fagaceae/Quercus/Quercus_rysophylla",3,178,0.0168539325842697
"4539","Tamaulipas",1205,"23.0345","Colubrina","Colubrina greggii","Rhamnaceae/Colubrina/Colubrina_greggii",1,178,0.00561797752808989
"4540","Tamaulipas",1205,"23.0345","Pinus","Pinus montezumae","Pinaceae/Pinus/Pinus_montezumae",1,178,0.00561797752808989
"4564","Tamaulipas",1205,"23.0345","Drypetes","Drypetes lateriflora","Putranjivaceae/Drypetes/Drypetes_lateriflora",1,178,0.00561797752808989
"4570","Tamaulipas",1205,"23.0345","Liquidambar","Liquidambar styraciflua","Altingiaceae/Liquidambar/Liquidambar_styraciflua",1,178,0.00561797752808989
"4574","Tamaulipas",1205,"23.0345","Prunus","Prunus serotina","Rosaceae/Prunus/Prunus_serotina",1,178,0.00561797752808989
"4576","Tamaulipas",1205,"23.0345","Solanum","NULL","Solanaceae/Solanum/Solanum_sp1",1,178,0.00561797752808989
"4589","Tamaulipas",1755,"23.0451","Berberis","Berberis gracilis","Berberidaceae/Berberis/Berberis_gracilis",3,297,0.0101010101010101
"4590","Tamaulipas",1755,"23.0451","Cornus","Cornus excelsa","Cornaceae/Cornus/Cornus_excelsa",27,297,0.0909090909090909
"4593","Tamaulipas",1755,"23.0451","Pinus","NULL","Pinaceae/Pinus/Pinus_sp1",1,297,0.00336700336700337
"4594","Tamaulipas",1755,"23.0451","Rhus","Rhus trilobata","Anacardiaceae/Rhus/Rhus_trilobata",3,297,0.0101010101010101
"4595","Tamaulipas",1755,"23.0451","Buddleja","Buddleja cordata","Scrophulariaceae/Buddleja/Buddleja_cordata",13,297,0.0437710437710438
"4596","Tamaulipas",1755,"23.0451","Garrya","Garrya laurifolia","Garryaceae/Garrya/Garrya_laurifolia",3,297,0.0101010101010101
"4599","Tamaulipas",1755,"23.0451","Ocotea","NULL","Lauraceae/Ocotea/Ocotea_sp1",2,297,0.00673400673400673
"4601","Tamaulipas",1755,"23.0451","Clethra","Clethra pringlei","Clethraceae/Clethra/Clethra_pringlei",33,297,0.111111111111111
"4603","Tamaulipas",1755,"23.0451","Pinus","Pinus patula","Pinaceae/Pinus/Pinus_patula",17,297,0.0572390572390572
"4604","Tamaulipas",1755,"23.0451","Ternstroemia","Ternstroemia sylvatica","Pentaphylacaceae/Ternstroemia/Ternstroemia_sylvatica",49,297,0.164983164983165
"4605","Tamaulipas",1755,"23.0451","Myrsine","Myrsine juergensenii","Primulaceae/Myrsine/Myrsine_juergensenii",11,297,0.037037037037037
"4606","Tamaulipas",1755,"23.0451","Carya","Carya ovata","Juglandaceae/Carya/Carya_ovata",7,297,0.0235690235690236
"4607","Tamaulipas",1755,"23.0451","Ilex","Ilex discolor","Aquifoliaceae/Ilex/Ilex_discolor",2,297,0.00673400673400673
"4611","Tamaulipas",1755,"23.0451","Persea","Persea americana","Lauraceae/Persea/Persea_americana",24,297,0.0808080808080808
"4614","Tamaulipas",1755,"23.0451","Quercus","Quercus affinis","Fagaceae/Quercus/Quercus_affinis",28,297,0.0942760942760943
"4631","Tamaulipas",1755,"23.0451","Styrax","Styrax argenteus","Styracaceae/Styrax/Styrax_argenteus",1,297,0.00336700336700337
"4633","Tamaulipas",1755,"23.0451","Senna","NULL","Fabaceae/Senna/Senna_sp1",5,297,0.0168350168350168
"4634","Tamaulipas",1755,"23.0451","AsteraceaeIndet.","NULL","Asteraceae/AsteraceaeIndet/AsteraceaeIndet_sp1",3,297,0.0101010101010101
"4635","Tamaulipas",1755,"23.0451","Quercus","Quercus sartorii","Fagaceae/Quercus/Quercus_sartorii",2,297,0.00673400673400673
"4639","Tamaulipas",1755,"23.0451","Cestrum","NULL","Solanaceae/Cestrum/Cestrum_sp1",1,297,0.00336700336700337
"4651","Tamaulipas",1755,"23.0451","Vitis","NULL","Vitaceae/Vitis/Vitis_sp2",6,297,0.0202020202020202
"4653","Tamaulipas",1755,"23.0451","Cornus","Cornus disciflora","Cornaceae/Cornus/Cornus_disciflora",24,297,0.0808080808080808
"4668","Tamaulipas",1755,"23.0451","Staphylea","Staphylea occidentalis","Staphyleaceae/Staphylea/Staphylea_occidentalis",13,297,0.0437710437710438
"4684","Tamaulipas",1755,"23.0451","Tilia","Tilia americana","Malvaceae/Tilia/Tilia_americana",11,297,0.037037037037037
"4703","Tamaulipas",1755,"23.0451","Prunus","Prunus serotina","Rosaceae/Prunus/Prunus_serotina",2,297,0.00673400673400673
"4720","Tamaulipas",1755,"23.0451","Crataegus","NULL","Rosaceae/Crataegus/Crataegus_sp1",2,297,0.00673400673400673
"4751","Tamaulipas",1755,"23.0451","Osmanthus","Osmanthus americana","Oleaceae/Osmanthus/Osmanthus_americana",2,297,0.00673400673400673
"4808","Tamaulipas",1755,"23.0451","AsteraceaeIndet.","NULL","Asteraceae/AsteraceaeIndet/AsteraceaeIndet_sp2",1,297,0.00336700336700337
"4872","Tamaulipas",1755,"23.0451","Philadelphus","Philadelphus coulteri","Hydrangeaceae/Philadelphus/Philadelphus_coulteri",1,297,0.00336700336700337
"4886","Tamaulipas",2060,"23.0413","Ternstroemia","Ternstroemia sylvatica","Pentaphylacaceae/Ternstroemia/Ternstroemia_sylvatica",72,295,0.24406779661017
"4887","Tamaulipas",2060,"23.0413","Clematis","Clematis dioica","Ranunculaceae/Clematis/Clematis_dioica",8,295,0.0271186440677966
"4888","Tamaulipas",2060,"23.0413","Pinus","NULL","Pinaceae/Pinus/Pinus_sp1",4,295,0.0135593220338983
"4891","Tamaulipas",2060,"23.0413","Vitis","NULL","Vitaceae/Vitis/Vitis_sp2",4,295,0.0135593220338983
"4892","Tamaulipas",2060,"23.0413","Cinnamomum","Cinnamomum pachypodum","Lauraceae/Cinnamomum/Cinnamomum_pachypodum",10,295,0.0338983050847458
"4893","Tamaulipas",2060,"23.0413","Cornus","Cornus disciflora","Cornaceae/Cornus/Cornus_disciflora",16,295,0.0542372881355932
"4894","Tamaulipas",2060,"23.0413","Garrya","Garrya laurifolia","Garryaceae/Garrya/Garrya_laurifolia",28,295,0.0949152542372881
"4899","Tamaulipas",2060,"23.0413","Ilex","NULL","Aquifoliaceae/Ilex/Ilex_sp1",3,295,0.0101694915254237
"4906","Tamaulipas",2060,"23.0413","Ocotea","NULL","Lauraceae/Ocotea/Ocotea_sp1",23,295,0.0779661016949153
"4913","Tamaulipas",2060,"23.0413","Litsea","Litsea glaucescens","Lauraceae/Litsea/Litsea_glaucescens",2,295,0.00677966101694915
"4915","Tamaulipas",2060,"23.0413","Quercus","Quercus affinis","Fagaceae/Quercus/Quercus_affinis",26,295,0.088135593220339
"4916","Tamaulipas",2060,"23.0413","Tilia","Tilia americana","Malvaceae/Tilia/Tilia_americana",4,295,0.0135593220338983
"4920","Tamaulipas",2060,"23.0413","Cornus","Cornus excelsa","Cornaceae/Cornus/Cornus_excelsa",17,295,0.0576271186440678
"4928","Tamaulipas",2060,"23.0413","Persea","Persea americana","Lauraceae/Persea/Persea_americana",20,295,0.0677966101694915
"4931","Tamaulipas",2060,"23.0413","Cercocarpus","Cercocarpus macrophyllus","Rosaceae/Cercocarpus/Cercocarpus_macrophyllus",10,295,0.0338983050847458
"4940","Tamaulipas",2060,"23.0413","Quercus","Quercus castanea","Fagaceae/Quercus/Quercus_castanea",4,295,0.0135593220338983
"4941","Tamaulipas",2060,"23.0413","Arbutus","Arbutus xalapensis","Ericaceae/Arbutus/Arbutus_xalapensis",4,295,0.0135593220338983
"4942","Tamaulipas",2060,"23.0413","Philadelphus","Philadelphus coulteri","Hydrangeaceae/Philadelphus/Philadelphus_coulteri",1,295,0.00338983050847458
"4947","Tamaulipas",2060,"23.0413","Crataegus","NULL","Rosaceae/Crataegus/Crataegus_sp1",2,295,0.00677966101694915
"4948","Tamaulipas",2060,"23.0413","Styrax","Styrax argenteus","Styracaceae/Styrax/Styrax_argenteus",15,295,0.0508474576271186
"4949","Tamaulipas",2060,"23.0413","Prunus","Prunus serotina","Rosaceae/Prunus/Prunus_serotina",1,295,0.00338983050847458
"4972","Tamaulipas",2060,"23.0413","Rhus","Rhus trilobata","Anacardiaceae/Rhus/Rhus_trilobata",9,295,0.0305084745762712
"4977","Tamaulipas",2060,"23.0413","Garrya","Garrya glaberrima","Garryaceae/Garrya/Garrya_glaberrima",3,295,0.0101694915254237
"4997","Tamaulipas",2060,"23.0413","Pinus","Pinus patula","Pinaceae/Pinus/Pinus_patula",2,295,0.00677966101694915
"5007","Tamaulipas",2060,"23.0413","Persea","Persea liebmannii","Lauraceae/Persea/Persea_liebmannii",2,295,0.00677966101694915
"5024","Tamaulipas",2060,"23.0413","Clethra","Clethra pringlei","Clethraceae/Clethra/Clethra_pringlei",1,295,0.00338983050847458
"5032","Tamaulipas",2060,"23.0413","Berberis","Berberis gracilis","Berberidaceae/Berberis/Berberis_gracilis",1,295,0.00338983050847458
"5045","Tamaulipas",2060,"23.0413","Magnolia","Magnolia tamaulipana","Magnoliaceae/Magnolia/Magnolia_tamaulipana",1,295,0.00338983050847458
"5102","Tamaulipas",2060,"23.0413","Carya","Carya ovata","Juglandaceae/Carya/Carya_ovata",1,295,0.00338983050847458
"5118","Tamaulipas",2060,"23.0413","Rhus","Rhus virens","Anacardiaceae/Rhus/Rhus_virens",1,295,0.00338983050847458
"5181","Tamaulipas",2260,"23.5785","Quercus","NULL","Fagaceae/Quercus/Quercus_sp1",11,76,0.144736842105263
"5182","Tamaulipas",2260,"23.5785","Purshia","Purshia plicata","Rosaceae/Purshia/Purshia_plicata",1,76,0.0131578947368421
"5187","Tamaulipas",2260,"23.5785","Vauquelinia","Vauquelinia corymbosa","Rosaceae/Vauquelinia/Vauquelinia_corymbosa",1,76,0.0131578947368421
"5188","Tamaulipas",2260,"23.5785","Rhus","Rhus virens","Anacardiaceae/Rhus/Rhus_virens",10,76,0.131578947368421
"5194","Tamaulipas",2260,"23.5785","Cercocarpus","NULL","Rosaceae/Cercocarpus/Cercocarpus_sp1",4,76,0.0526315789473684
"5205","Tamaulipas",2260,"23.5785","Cercocarpus","Cercocarpus mojadensis","Rosaceae/Cercocarpus/Cercocarpus_mojadensis",1,76,0.0131578947368421
"5206","Tamaulipas",2260,"23.5785","Dasylirion","Dasylirion longissimum","Asparagaceae/Dasylirion/Dasylirion_longissimum",23,76,0.302631578947368
"5217","Tamaulipas",2260,"23.5785","Dasylirion","Dasylirion texanum","Asparagaceae/Dasylirion/Dasylirion_texanum",1,76,0.0131578947368421
"5219","Tamaulipas",2260,"23.5785","Nolina","Nolina parviflora","Asparagaceae/Nolina/Nolina_parviflora",1,76,0.0131578947368421
"5232","Tamaulipas",2260,"23.5785","Pinus","Pinus cembroides","Pinaceae/Pinus/Pinus_cembroides",23,76,0.302631578947368
"5257","Tamaulipas",2800,"23.6277","Quercus","Quercus miquihuanensis","Fagaceae/Quercus/Quercus_miquihuanensis",26,101,0.257425742574257
"5258","Tamaulipas",2800,"23.6277","Nolina","Nolina parviflora","Asparagaceae/Nolina/Nolina_parviflora",9,101,0.0891089108910891
"5275","Tamaulipas",2800,"23.6277","Pinus","Pinus montezumae","Pinaceae/Pinus/Pinus_montezumae",2,101,0.0198019801980198
"5283","Tamaulipas",2800,"23.6277","Arbutus","Arbutus xalapensis","Ericaceae/Arbutus/Arbutus_xalapensis",9,101,0.0891089108910891
"5292","Tamaulipas",2800,"23.6277","Arbutus","Arbutus arizonica","Ericaceae/Arbutus/Arbutus_arizonica",17,101,0.168316831683168
"5293","Tamaulipas",2800,"23.6277","Quercus","NULL","Fagaceae/Quercus/Quercus_sp1",1,101,0.0099009900990099
"5294","Tamaulipas",2800,"23.6277","Pinus","Pinus teocote","Pinaceae/Pinus/Pinus_teocote",27,101,0.267326732673267
"5305","Tamaulipas",2800,"23.6277","Cercocarpus","Cercocarpus macrophyllus","Rosaceae/Cercocarpus/Cercocarpus_macrophyllus",2,101,0.0198019801980198
"5342","Tamaulipas",2800,"23.6277","Pinus","Pinus hartwegii","Pinaceae/Pinus/Pinus_hartwegii",8,101,0.0792079207920792
"5358","Tamaulipas",3200,"23.6632","Pinus","Pinus hartwegii","Pinaceae/Pinus/Pinus_hartwegii",52,52,1
