"","TraitName","AccSpeciesName","OrigValueStr","OrigUnitStr","StdValue","UnitName"
"88","Leaf phosphorus (P) content per leaf dry mass","Minquartia guianensis","0.05235952","%",0.5235952,"mg/g"
"89","Leaf nitrogen/phosphorus (N/P) ratio","Minquartia guianensis","60.9249283","g/g",60.9249283,"g/g"
"90","Leaf nitrogen (N) isotope signature (delta 15N)","Minquartia guianensis","6.73","per mill",6.73,"per mill"
"91","","Minquartia guianensis","Nardoto Rondonia","",NA,""
"92","","Minquartia guianensis","-63.383333","",-63.383333,""
"93","","Minquartia guianensis","-8.75","",-8.75,""
"94","Species ocurrence range: climate type","Minquartia guianensis","Continental","",NA,""
"95","","Minquartia guianensis","4.89499998","",NA,""
"96","","Minquartia guianensis","25","C",NA,""
"97","","Minquartia guianensis","2300","mm/yr",NA,""
"98","Plant nitrogen fixation capacity","Minquartia guianensis","No","",NA,""
"99","Leaf nitrogen (N) content per leaf dry mass","Minquartia guianensis","1.33","%",13.3,"mg/g"
"100","Leaf phosphorus (P) content per leaf dry mass","Minquartia guianensis","0.04507055","%",0.4507055,"mg/g"
"101","Leaf nitrogen/phosphorus (N/P) ratio","Minquartia guianensis","29.5092915","g/g",29.5092915,"g/g"
"102","Leaf nitrogen (N) isotope signature (delta 15N)","Minquartia guianensis","2.71","per mill",2.71,"per mill"
"103","","Minquartia guianensis","Gabi.Thesis","",NA,""
"104","","Minquartia guianensis","-60","",-60,""
"105","","Minquartia guianensis","-2.5","",-2.5,""
"106","Species ocurrence range: climate type","Minquartia guianensis","Continental","",NA,""
"107","","Minquartia guianensis","4.9289999","",NA,""
"108","","Minquartia guianensis","26.5","C",NA,""
"109","","Minquartia guianensis","2250","mm/yr",NA,""
"110","Plant nitrogen fixation capacity","Minquartia guianensis","No","",NA,""
"111","Leaf nitrogen (N) content per leaf dry mass","Minquartia guianensis","1.66","%",16.6,"mg/g"
"112","Leaf nitrogen (N) isotope signature (delta 15N)","Minquartia guianensis","5.08","per mill",5.08,"per mill"
"113","","Minquartia guianensis","6.78220544","",NA,""
"114","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Minquartia guianensis","-1.7022054","per mill",-1.7022054,"per mill"
"115","","Minquartia guianensis","16.0820703","",NA,""
"116","","Minquartia guianensis","0-20","cm",NA,""
"117","","Minquartia guianensis","Soil N scaled by soil %N with depth","",NA,""
"118","","Minquartia guianensis","Gabi.Thesis","",NA,""
"119","","Minquartia guianensis","-60","",-60,""
"120","","Minquartia guianensis","-2.5","",-2.5,""
"121","Species ocurrence range: climate type","Minquartia guianensis","Continental","",NA,""
"122","","Minquartia guianensis","4.9289999","",NA,""
"123","","Minquartia guianensis","26.5","C",NA,""
"124","","Minquartia guianensis","2250","mm/yr",NA,""
"125","Plant nitrogen fixation capacity","Minquartia guianensis","No","",NA,""
"126","Leaf nitrogen (N) content per leaf dry mass","Minquartia guianensis","1.76","%",17.6,"mg/g"
"127","Leaf nitrogen (N) isotope signature (delta 15N)","Minquartia guianensis","5.74","per mill",5.74,"per mill"
"128","","Minquartia guianensis","6.78220544","",NA,""
"129","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Minquartia guianensis","-1.0422054","per mill",-1.0422054,"per mill"
"130","","Minquartia guianensis","16.0820703","",NA,""
"131","","Minquartia guianensis","0-20","cm",NA,""
"132","","Minquartia guianensis","Soil N scaled by soil %N with depth","",NA,""
"133","","Minquartia guianensis","Gabi.Thesis","",NA,""
"134","","Minquartia guianensis","-60","",-60,""
"135","","Minquartia guianensis","-2.5","",-2.5,""
"136","Species ocurrence range: climate type","Minquartia guianensis","Continental","",NA,""
"137","","Minquartia guianensis","4.9289999","",NA,""
"138","","Minquartia guianensis","26.5","C",NA,""
"139","","Minquartia guianensis","2250","mm/yr",NA,""
"140","Plant nitrogen fixation capacity","Minquartia guianensis","No","",NA,""
"141","Leaf nitrogen (N) content per leaf dry mass","Minquartia guianensis","1.83","%",18.3,"mg/g"
"142","Leaf nitrogen (N) isotope signature (delta 15N)","Minquartia guianensis","4.78","per mill",4.78,"per mill"
"143","","Minquartia guianensis","6.78220544","",NA,""
"144","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Minquartia guianensis","-2.0022054","per mill",-2.0022054,"per mill"
"145","","Minquartia guianensis","16.0820703","",NA,""
"146","","Minquartia guianensis","0-20","cm",NA,""
"147","","Minquartia guianensis","Soil N scaled by soil %N with depth","",NA,""
"148","","Minquartia guianensis","Gabi.Thesis","",NA,""
"149","","Minquartia guianensis","-60","",-60,""
"150","","Minquartia guianensis","-2.5","",-2.5,""
"151","Species ocurrence range: climate type","Minquartia guianensis","Continental","",NA,""
"152","","Minquartia guianensis","4.9289999","",NA,""
"153","","Minquartia guianensis","26.5","C",NA,""
"154","","Minquartia guianensis","2250","mm/yr",NA,""
"155","Plant nitrogen fixation capacity","Minquartia guianensis","No","",NA,""
"156","Leaf nitrogen (N) content per leaf dry mass","Minquartia guianensis","1.95","%",19.5,"mg/g"
"157","Leaf nitrogen (N) isotope signature (delta 15N)","Minquartia guianensis","4.2","per mill",4.2,"per mill"
"158","","Minquartia guianensis","6.78220544","",NA,""
"159","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Minquartia guianensis","-2.5822054","per mill",-2.5822054,"per mill"
"160","","Minquartia guianensis","16.0820703","",NA,""
"161","","Minquartia guianensis","0-20","cm",NA,""
"162","","Minquartia guianensis","Soil N scaled by soil %N with depth","",NA,""
"163","","Richeria dressleri","Gabi.Thesis","",NA,""
"164","","Richeria dressleri","-60","",-60,""
"165","","Richeria dressleri","-2.5","",-2.5,""
"166","Species ocurrence range: climate type","Richeria dressleri","Continental","",NA,""
"167","","Richeria dressleri","4.9289999","",NA,""
"168","","Richeria dressleri","26.5","C",NA,""
"169","","Richeria dressleri","2250","mm/yr",NA,""
"170","Plant nitrogen fixation capacity","Richeria dressleri","No","",NA,""
"171","Leaf nitrogen (N) content per leaf dry mass","Richeria dressleri","1.65","%",16.5,"mg/g"
"172","Leaf phosphorus (P) content per leaf dry mass","Richeria dressleri","0.051","%",0.51,"mg/g"
"173","Leaf nitrogen/phosphorus (N/P) ratio","Richeria dressleri","32.3529412","g/g",32.3529412,"g/g"
"174","Leaf nitrogen (N) isotope signature (delta 15N)","Richeria dressleri","-1.06","per mill",-1.06,"per mill"
"175","","Richeria dressleri","6.78220544","",NA,""
"176","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Richeria dressleri","-7.8422054","per mill",-7.8422054,"per mill"
"177","","Richeria dressleri","16.0820703","",NA,""
"178","","Richeria dressleri","0-20","cm",NA,""
"179","","Richeria dressleri","Soil N scaled by soil %N with depth","",NA,""
"180","","Calophyllum brasiliense","Gabi.Thesis","",NA,""
"181","","Calophyllum brasiliense","-60","",-60,""
"182","","Calophyllum brasiliense","-2.5","",-2.5,""
"183","Species ocurrence range: climate type","Calophyllum brasiliense","Continental","",NA,""
"184","","Calophyllum brasiliense","4.9289999","",NA,""
"185","","Calophyllum brasiliense","26.5","C",NA,""
"186","","Calophyllum brasiliense","2250","mm/yr",NA,""
"187","Plant nitrogen fixation capacity","Calophyllum brasiliense","No","",NA,""
"188","Leaf nitrogen (N) content per leaf dry mass","Calophyllum brasiliense","1.18","%",11.8,"mg/g"
"189","Leaf phosphorus (P) content per leaf dry mass","Calophyllum brasiliense","0.06","%",0.6,"mg/g"
"190","Leaf nitrogen/phosphorus (N/P) ratio","Calophyllum brasiliense","19.6666667","g/g",19.6666667,"g/g"
"191","Leaf nitrogen (N) isotope signature (delta 15N)","Calophyllum brasiliense","-1.46","per mill",-1.46,"per mill"
"192","","Calophyllum brasiliense","5.14863644","",NA,""
"193","Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)","Calophyllum brasiliense","-6.6086364","per mill",-6.6086364,"per mill"
"194","","Calophyllum brasiliense","16.0156788","",NA,""
"195","","Calophyllum brasiliense","0-20","cm",NA,""
"196","","Calophyllum brasiliense","Soil N scaled by soil %N with depth","",NA,""
"197","","Chimarrhis turbinata","Ometto","",NA,""
"198","","Chimarrhis turbinata","-54.96","",-54.96,""
"199","","Chimarrhis turbinata","-2.86","",-2.86,""
"200","Species ocurrence range: climate type","Chimarrhis turbinata","Continental","",NA,""
"201","","Chimarrhis turbinata","4.95300007","",NA,""
"202","","Chimarrhis turbinata","25.952225","C",NA,""
"203","","Chimarrhis turbinata","1674.5435","mm/yr",NA,""
